Names,Cost,Points
Elisa Balsamo,22,200
Chantal Van Den Broeck-Blaak,22,20
Demi Vollering,16,220
Emilia Fahlin,14,95
Lauren Stephens,14,56
Ashleigh Moolman,12,120
Katia Ragusa,12,4
Juliette Labous,10,150
Lucinda Brand,10,120
Thalita De Jong,10,60
Katrine Aalerud,10,52
Ane Santesteban,10,48
Ruth Winder,8,240
Pauliena Rooijakkers,8,85
Alena Amialiusik,8,68
Arlenis Sierra,8,64
Niamh Fisher-Black,8,44
Valerie Demey,8,32
Lauretta Hanson,8,30
Georgia Williams,8,12
Vita Heine,8,8
Leah Thomas,6,180
Joss Lowden,6,160
Tayler Wiles,6,110
Vittoria Guazzini,6,86
Sabrina Stultiens,6,72
Letizia Borghesi,6,40
Eider Merino,6,28
Nikola Noskova,6,20
Amalie Lutro,4,44
Lone Meertens,4,36
Anna Shackley,4,36
Elynor Backstedt,4,30
Shirin Van Anrooij,4,30
Alice Maria Arzuffi,4,10
Eleonora Camilla Gasparrini,4,10
Silvia Magri,4,10
Silvia Pollicini,4,10
