Names,Cost,Points
Annemiek Van Vleuten,30,220
Ellen Van Dijk,20,105
Sarah Roy,14,60
Soraya Paladin,14,20
Audrey Cordon-Ragot,12,155
Katia Ragusa,12,56
Evita Muzic,10,140
Ursa Pintar,10,78
Ane Santesteban,10,56
Jelena Eric,10,30
Ruth Winder,8,180
Tatiana Guderzo,8,180
Pauliena Rooijakkers,8,120
Erica Magnaldi,8,90
Eugenie Duval,8,72
Kathrin Hammes,8,32
Anastasiia Chursina,8,22
Lauretta Hanson,8,20
Maaikke Boogaard,8,10
Sabrina Stultiens,6,140
Brodie Chapman,6,110
Jeanne Korevaar,6,80
Janneke Ensing,6,76
Victorie Guilman,6,44
Sara Martin,6,38
Alicia Gonzalez,6,30
Silvia Persico,6,24
Shirin Van Anrooij,4,68
Olivia Baril,4,60
Marta Jaskulska,4,52
Lourdes Oyarbide,4,30
Gloria Rodriguez,4,30
Elynor Backstedt,4,20
Alice Maria Arzuffi,4,16
Sophie Wright,4,10
Elena Pirrone,4,4
