Names,Cost,Points
Anna Van Der Breggen,30,170
Marianne Vos,30,160
Cecilie Uttrup Ludwig,24,180
Grace Brown,24,160
Elizabeth Deignan,24,90
Katarzyna Niewiadoma,22,110
Chantal Van Den Broeck-Blaak,22,30
Demi Vollering,16,200
Liane Lippert,16,95
Soraya Paladin,14,100
Marta Cavalli,14,92
Emilia Fahlin,14,20
Lauren Stephens,14,16
Mikayla Harvey,12,104
Sofia Bertizzolo,10,125
Juliette Labous,10,92
Kristen Faulkner,10,80
Amanda Spratt,10,44
Katrine Aalerud,10,36
Roxane Fournier,10,30
Evita Muzic,10,20
Lucinda Brand,10,12
Elise Chabbey,10,8
Niamh Fisher-Black,8,138
Anna Henderson,8,106
Tatiana Guderzo,8,100
Pauliena Rooijakkers,8,48
Ruth Winder,8,40
Clara Koppenburg,8,24
Riejanne Markus,8,10
Anouska Koster,8,10
Leah Thomas,6,120
Coryn Rivera,6,76
Brodie Chapman,6,60
Silvia Persico,6,40
Joss Lowden,6,32
Nikola Noskova,6,30
Sabrina Stultiens,6,28
Victorie Guilman,6,20
Cedrine Kerbaol,6,20
Karlijn Swinkels,6,10
Barbara Malcotti,4,20
Elena Pirrone,4,20
Federica Damiana Piergiovanni,4,4
