Names,Cost,Points
Annemiek Van Vleuten,30,220
Elisa Longo Borghini,30,200
Anna Van Der Breggen,30,190
Marianne Vos,30,110
Cecilie Uttrup Ludwig,24,115
Katarzyna Niewiadoma,22,180
Chantal Van Den Broeck-Blaak,22,38
Mavi Garcia,18,48
Demi Vollering,16,240
Soraya Paladin,14,80
Marta Cavalli,14,68
Ashleigh Moolman,12,150
Maria Novolodskaia,12,64
Elena Cecchini,12,30
Lucinda Brand,10,120
Elise Chabbey,10,92
Amanda Spratt,10,85
Katrine Aalerud,10,60
Ane Santesteban,10,52
Evita Muzic,10,32
Kristen Faulkner,10,28
Niamh Fisher-Black,8,106
Riejanne Markus,8,76
Erica Magnaldi,8,60
Anouska Koster,8,20
Paula Patino,8,20
Anna Henderson,8,12
Lauretta Hanson,8,10
Leah Thomas,6,84
Tyler Wiles,6,46
Brodie Chapman,6,44
Janneke Ensing,6,36
Sara Martin,6,20
Lucy Kennedy,6,20
Eider Merino,6,4
Gloria Rodriguez,4,20
Barbara Malcotti,4,20
Shirin Van Anrooij,4,10
