Names,Cost,Points
Annemiek Van Vleuten,30,240
Elisa Longo Borghini,30,140
Anna Van Der Breggen,30,95
Marianne Vos,30,76
Lotte Kopecky,26,72
Lisa Brennauer,24,180
Grace Brown,24,160
Cecilie Uttrup Ludwig,24,100
Elizabeth Deignan,24,52
Amy Pieters,22,68
Chantal Van Den Broeck-Blaak,22,48
Katarzyna Niewiadoma,22,44
Elisa Balsamo,20,64
Ellen Van Dijk,20,40
Emma Norsgaard,20,30
Demi Vollering,16,120
Liane Lippert,16,20
Marta Cavalli,14,110
Marlen Reusser,14,90
Sarah Roy,14,14
Floortje Mackaij,12,56
Audrey Cordon-Ragot,12,20
Kristen Faulkner,10,85
Maria Giulia Confalonieri,10,80
Jelena Eric,10,30
Amanda Spratt,10,22
Julie Leth,10,20
Alison Jackson,8,36
Tiffany Cromwell,8,32
Aude Biannic,8,30
Barbara Guarischi,8,30
Anna Henderson,8,28
Kathrin Hammes,8,20
Marta Lach,8,20
Riejanne Markus,8,16
Arianna Fidanza,8,10
Moniek Tenniglo,8,10
Leah Thomas,6,110
Mischa Bredewold,6,24
Lea Lin Teutenberg,6,20
Teniel Campbell,6,10
Brodie Chapman,6,8
