Names,Cost,Points
Marianne Vos,30,180
Elisa Longo Borghini,30,86
Annemiek Van Vleuten,30,68
Anna Van Der Breggen,30,20
Lotte Kopecky,26,60
Cecilie Uttrup Ludwig,24,95
Lisa Brennauer,24,90
Elizabeth Deignan,24,68
Katarzyna Niewiadoma,22,160
Amy Pieters,22,24
Chantal Van Den Broeck-Blaak,22,20
Elisa Balsamo,20,200
Ellen Van Dijk,20,72
Mavi Garcia,18,8
Demi Vollering,16,120
Marta Cavalli,14,74
Marta Bastianelli,14,66
Ashleigh Moolman-Pasio,12,80
Elena Cecchini,12,30
Audrey Cordon-Ragot,12,16
Elise Chabbey,10,72
Maria Giulia Confalonieri,10,62
Lucinda Brand,10,20
Arlenis Sierra,8,120
Alison Jackson,8,110
Alena Amialiusik,8,76
Ruth Winder,8,40
Anna Henderson,8,24
Aude Biannic,8,20
Spela Kern,8,12
Marta Lach,8,10
Kata Vas,6,140
Coryn Rivera,6,85
Vittoria Guazzini,6,30
Ella Harris,6,20
Michaela Drummond,4,20
Marta Jaskulska,4,10
