Names,Cost,Points
Demi Vollering,30,600
Annemiek Van Vleuten,30,480
Elisa Balsamo,26,285
Katarzyna Niewiadoma,24,420
Ashleigh Moolman-Pasio,24,360
Marta Cavalli,20,600
Emma Norsgaard,20,168
Mavi Garcia,18,330
Chantal Van Den Broek-Blaak,16,60
Coryn Labecki,14,270
Marlen Reusser,14,204
Erica Magnaldi,14,192
Amanda Spratt,14,120
Niamh Fisher-Black,14,60
Liane Lippert,12,480
Juliette Labous,12,270
Sofia Bertizzolo,12,255
Floortje Mackaij,12,126
Arlenis Sierra,12,120
Pfeiffer Georgi,12,30
Riejanne Markus,10,204
Pauliena Rooijakkers,10,120
Emilia Fahlin,10,90
Leah Kirchmann,10,30
Blanka Vas,8,144
Mischa Bredewold,8,120
Yara Kastelijn,6,216
Shirin Van Anrooij,6,180
Stine Borgli,6,150
Olivia Baril,6,108
Victorie Guilman,6,90
Marie Le Net,6,90
Ingvild Gaaskjenn,6,72
Maaike Boogaard,6,60
Kristabel Doebel-Hickok,6,48
Veronica Ewers,6,36
Alice Maria Arzuffi,6,12
Alexandra Manly,4,228
Elizabeth Holden,4,156
Silke Smulders,4,132
Jade Wiel,4,90
Lea Curinier,4,30
Julia Borgstroem,4,24
