Names,Cost,Points
Demi Vollering,30,585
Katarzyna Niewiadoma,24,405
Ashleigh Moolman Pasio,24,276
Mavi Garcia,18,135
Marlen Reusser,14,375
Niamh Fisher-Black,14,177
Coryn Labecki,14,126
Amanda Spratt,14,63
Liane Lippert,12,360
Juliette Labous,12,290
Sofia Bertizzolo,12,204
Pauiena Rooijakkers,10,331
Alena Amialiusik,10,40
Mikayla Harvey,10,40
Leah Kirchmann,10,20
Anna Shackley,8,168
Mischa Bredewold,8,153
Ane Santesteban,8,81
Silvia Persico,6,228
Victorie Guilman,6,180
Paula Patino,6,162
Shirin Van Anrooij,6,144
Karlijn Swinkels,6,99
Marta Jaskulska,6,90
Marta Lach,6,54
Shari Bossuyt,6,40
Tamara Dronova,6,27
Esmee Peperkamp,6,20
Martina Alzini,6,18
Alexandra Manly,4,192
Loes Adegeest,4,171
Mareille Meijering,4,72
Megan Armitage,4,45
Neve Bradbury,4,40
Justine Ghekiere,4,36
Francesca Barale,4,20
Lea Curinier,4,20
Millie Couzens,4,9
