Names,Cost,Points
Annemiek Van Vleuten,30,90
Elisa Longo Borghini,28,54
Cecilie Uttrup Ludwig,24,63
Chiara Consonni,14,450
Elise Chabbey,14,360
Marta Bastianelli,14,270
Lucinda Brand,14,180
Ellen Van Dijk,14,99
Soraya Paladin,14,20
Pfeiffer Georgi,12,315
Arlenis Sierra,12,204
Floortje Mackaij,12,162
Liane Lippert,12,81
Sarah Roy,12,56
Mikayla Harvey,10,20
Susanne Andersen,8,162
Anouska Koster,8,135
Brodie Chapman,8,117
Teuntje Beekhuis,8,9
Rachele Barbieri,6,246
Shari Bossuyt,6,236
Marie Le Net,6,228
Karlijn Swinkels,6,192
Letizia Borghesi,6,171
Tamara Dronova,6,153
Maaike Boogaard,6,144
Marta Jaskulska,6,108
Alice Maria Arzuffi,6,60
Olivia Baril,6,60
Julie Van De Velde,6,40
Inge Van Der Heijden,6,40
Julie De Wilde,4,405
Ruby Roseman-Gannon,4,126
Alexandra Manly,4,72
Anastasia Carbonari,4,60
Karolina Kumiega,4,60
Margaux Vigie,4,60
Laura Suessemilch,4,58
Georgia Baker,4,45
Sanne Cant,4,40
Justine Ghekiere,4,40
Maud Oudeman,4,20
