Names,Cost,Points
Annemiek Van Vleuten,30,600
Demi Vollering,30,540
Elisa Longo Borghini,28,390
Ashleigh Moolman Pasio,24,510
Katarzyna Niewiadoma,24,228
Marta Cavalli,20,660
Mavi Garcia,18,420
Leah Thomas,16,120
Chantal Van Broeck-Blaak,16,30
Niamh Fisher-Black,14,258
Elise Chabbey,14,204
Amanda Spratt,14,192
Erica Magnaldi,14,144
Liane Lippert,12,360
Arlenis Sierra,12,252
Katrine Aalerud,12,60
Pauliena Rooijakkers,10,300
Alena Amialiusik,10,120
Evita Muzic,10,90
Anouska Koster,8,384
Ane Santesteban,8,255
Anna Shackley,8,210
Jelena Eric,8,120
Brodie Chapman,8,90
Katia Ragusa,8,60
Blanka Vas,8,30
Yara Kastelijn,6,450
Kristabel Doebel-Hickok,6,405
Esmee Peperkamp,6,216
Paula Patino,6,216
Shirin Van Anrooij,6,216
Olivia Baril,6,180
Sandra Levenez,6,132
Julie Van De Velde,6,120
Eugenie Duval,6,90
Stine Borgli,6,90
Pauline Allin,6,60
Silvia Zanardi,6,60
Sara Martin,6,60
Federica Damiana Piergiovanni,6,60
Clara Koppenburg,6,24
Morgane Coston,4,108
Jade Wiel,4,90
Kylie Waterreus,4,60
Anastasia Carbonari,4,60
Alena Ivanchenko,4,48
Mijntje Geurts,4,36
Yuliia Biriukova,4,12
