Names,Cost,Points
Marianne Vos,28,405
Elisa Longo Borghini,28,60
Elisa Balsamo,26,450
Lotte Kopecky,26,315
Katarzyna Niewiadoma,24,45
Lisa Brennauer,22,20
Emma Norsgaard,20,270
Marta Cavalli,20,45
Clara Copponi,16,192
Marta Bastianelli,14,246
Ellen Van Dijk,14,105
Coryn Labecki,14,85
Soraya Paladin,14,54
Maria Giulia Confalonieri,12,360
Pfeiffer Georgi,12,189
Arlenis Sierra,12,135
Sofia Bertizzolo,12,135
Floortje Mackaij,12,117
Chloe Hosking,12,60
Christine Majerus,12,45
Anna Henderson,12,40
Elena Cecchini,10,45
Riejanne Markus,10,40
Susanne Andersen,8,273
Eleonora Camilla Gasparini,8,72
Rachel Neylan,8,54
Jip Van Den Bos,8,40
Tamara Dromova-Balabolina,6,216
Valerie Demey,6,207
Silvia Persico,6,204
Arianna Fidanza,6,171
Maaike Boogaard,6,153
Femke Markus,6,108
Eugenie Duval,6,99
Marta Lach,6,83
Shari Bossuyt,6,63
Lauretta Hanson,6,60
Shirin Van Anrooij,6,60
Yara Kastelijn,6,45
Julie Van De Velde,6,45
Romy Kasper,6,40
Olivia Baril,6,27
Lea Lin Teutenberg,6,20
Sanne Cant,4,180
Julia Borgstroem,4,126
Silke Smulders,4,81
Sara Poidevin,4,81
Anne Van Rooijen,4,45
Gulnaz Khatuntseva,4,45
Franziska Brausse,4,20
Lara Vieceli,4,20
