Names,Cost,Points
Elisa Longo Borghini,28,810
Lotte Kopecky,26,540
Elisa Balsamo,26,120
Marta Cavalli,20,360
Emma Norsgaard,20,240
Grace Brown,18,228
Chantal Van Den Broek-Blaak,16,345
Lucinda Brand,14,570
Elise Chabbey,14,420
Ellen Van Dijk,14,420
Marta Bastianelli,14,192
Coryn Labecki,14,84
Chiara Consonni,14,72
Floortje Mackaij,12,330
Pfeiffer Georgi,12,270
Audrey Cordon-Ragot,12,168
Christine Majerus,12,120
Chloe Hosking,12,120
Alison Jackson,10,216
Elena Cecchini,10,60
Teuntje Beekhuis,8,204
Tiffany Cromwell,8,180
Lonneke Uneken,8,60
Sandra Alonso,6,255
Femke Markus,6,156
Romy Kasper,6,144
Valerie Demey,6,120
Marta Lach,6,108
Roxane Fournier,6,60
Tanja Erath,6,60
Marie Le Net,6,36
Victoire Berteau,4,168
Alana Castrique,4,132
Ilse Pluimers,4,96
Clara Honsinger,4,24
Amandine Fouquenet,4,12
