Names,Cost,Points
Lorena Wiebes,24,450
Chiara Consonni,14,405
Chloe Hosking,12,246
Barbara Guarischi,8,270
Charlotte Kool,8,252
Eleonora Camilla Gasparini,8,94
Amber Van Den Hulst,8,20
Rachele Barbieri,6,360
Letizia Borghesi,6,216
Anna Trevisi,6,204
Marta Jaskulska,6,200
Abi Smith,6,180
Ingvild Gaskjenn,6,135
Arianna Fidanza,6,99
Kathrin Schweinberger,6,72
Laura Asencio,6,63
Esmee Peperkamp,6,60
Silvia Persico,6,40
Ilaria Sanguineti,6,40
Maria Martins,6,36
Eva Buurman,6,20
Letizia Paternoster,6,18
Georgia Baker,4,315
Julie De Wilde,4,228
Katrijn De Clercq,4,171
Maike Van Der Duin,4,162
Danique Braam,4,153
Sanne Cant,4,144
Simone Boilard,4,135
Megan Armitage,4,135
Karolina Kumiega,4,130
Eline Van Rooijen,4,126
Barbara Fonseca,4,108
Megan Jastrab,4,105
Margot Pompanon,4,81
Lea Curinier,4,60
Elise Uijen,4,60
Margaux Vigie,4,40
Svenja Betz,4,27
Ayesha McGowan,4,20
Quinty Ton,4,20
Josie Nelson,4,9
